id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
220,天钩,Celestial Hook,Tian Gou,天钩,3,-33.3999,64.9751,46.1
221,天狗,Celestial Dog,Tian Gou,天狗,3,131.6463,-35.3355,15.3
222,天关,Celestial Pass,Tian Guan,天关,3,84.4112,21.1425,0
223,天皇大帝,Great Emperor of Heaven,Tian Huang Da Di,天皇大帝,3,-26.7058,86.108,0
224,天潢,Celestial Pier,Tian Huang,天潢,3,80.1346,35.5861,5.8
225,天溷,Celestial Pigsty,Tian Hun,天溷,3,12.5269,-10.8107,4.1
226,天鸡,Celestial Cock,Tian Ji,天鸡,3,-63.8899,-17.9425,3.6
227,天记,Judge for Estimating the Age of Animals,Tian Ji,天记,3,136.999,-43.4326,0
228,天纪,Celestial Discipline,Tian Ji,天纪,3,-102.7062,34.0179,23.5
229,天江,Celestial River,Tian Jiang,天江,3,-99.924,-25.5798,3
230,天街,Celestial Street,Tian Jie,天街,3,65.3348,21.3893,2
231,天节,Celestial Tally,Tian Jie,天节,3,67.5023,12.1527,5.4
232,天津,Celestial Ford,Tian Jin,天津,3,-52.1384,38.5213,23.2
233,天厩,Celestial Stable,Tian Jiu,天厩,3,4.7766,37.7334,1.9
234,天狼,Celestial Wolf,Tian Lang,天狼,3,101.2872,-16.7161,0
235,天牢,Celestial Prison,Tian Lao,天牢,3,168.0623,41.3474,9.1
236,天垒城,Celestial Ramparts,Tian Lei Cheng,天垒城,3,-39.1731,-11.5128,11.7
237,天理,Judge for Nobility,Tian Li,天理,3,174.1505,58.6999,10.1
238,天廪,Celestial Foodstuff,Tian Lin,天廪,3,51.9608,10.9828,3.9
239,天门,Celestial Gate,Tian Men,天门,3,-160.061,-16.0861,3.8
240,天钱,Celestial Money,Tian Qian,天钱,3,-30.6133,-31.4711,6.3
241,天枪,Celestial Spear,Tian Qiang,天枪,3,-145.1674,51.609,2.9
242,天囷,Circular Celestial Granary,Tian Qun,天囷,3,41.5888,3.8603,17.4
243,天乳,Celestial Milk,Tian Ru,天乳,3,-122.595,-3.4302,0
