id,name,desig,en,pinyin
60098,郎位增二,9 Com,Officers of the Imperial Guard Added II,Lángwèi zēng II
60122,相增二,3 CVn,Prime Minister Added II,Xiàng zēng II
60123,郎位增一,10 Com,Officers of the Imperial Guard Added I,Lángwèi zēng I
60129,左执法,η Vir,Left Law Administrator,Zuǒzhífǎ
60172,谒者,c Vir,Usher to the Court,yèzhě
60189,长沙,ζ Crv,Changsha,Chángshā
60202,五诸侯增六[太微垣],11 Com,Five Lords Added VI,Wǔzhūhóu zēng VI
60212,天权增二,70 UMa,The Celestial Balance Added II,Tiānquán zēng II
60351,郎位七,12 Com,Officers of the Imperial Guard VII,Lángwèi VII
60353,谒者增二,17 Vir,Usher to the Court Added II,yèzhě zēng II
60425,轸宿增五,6 Crv,Chariot Added V,Zhěnxiù zēng V
60467,常陈增一,4 CVn,Royal Guards Added I,Chángchén zēng I
60485,相,5 CVn,Prime Minister,Xiàng
60514,郎位六,13 Com,Officers of the Imperial Guard VI,Lángwèi VI
60517,库楼九,HD107931,Arsenal IX,Kùlóu IX
60646,常陈五,6 CVn,Royal Guards V,Chángchén V
60697,郎位三,14 Com,Officers of the Imperial Guard III,Lángwèi III
60710,马尾一,G Cen,Horse's Tail I,Mǎwěi I
60718,十字架二,α1 Cru,Cross II,Shízìjià II
60742,郎位一,γ Com,Officers of the Imperial Guard I,Lángwèi I
60746,郎位四,16 Com,Officers of the Imperial Guard IV,Lángwèi IV
60795,天权增三,73 UMa,The Celestial Balance Added III,Tiānquán zēng III
60823,库楼十,σ Cen,Arsenal X,Kùlóu X
60904,郎位五,17 Com,Officers of the Imperial Guard V,Lángwèi V
60941,郎位九,18 Com,Officers of the Imperial Guard IX,Lángwèi IX
60957,郎位十三,20 Com,Officers of the Imperial Guard XIII,Lángwèi XIII
60965,轸宿三,δ Crv,Chariot III,Zhěnxiù III
60978,天权增一,74 UMa,The Celestial Balance Added I,Tiānquán zēng I
60998,少尉增二,4 Dra,The Second Commandant Added II,Shàowèi zēng II
61071,郎位八,21 Com,Officers of the Imperial Guard VIII,Lángwèi VIII
61084,十字架一,γ Cru,Cross I,Shízìjià I
61174,左辖,η Crv,Left linchpin,Zuǒxiá
61199,蜜蜂二*,γ Mus,Bee II*,Mìfēng II*
61246,九卿增九,20 Vir,Nine Senior Officers Added IX,Jǐuqīng zēng IX
61281,少尉,κ Dra,The Second Commandant,Shàowèi
61317,常陈四,β CVn,Royal Guards IV,Chángchén IV
61318,轸宿增一,q Vir,Chariot Added I,Zhěnxiù zēng I
61359,轸宿四,β Crv,Chariot IV,Zhěnxiù IV
61384,少尉增一,6 Dra,The Second Commandant Added I,Shàowèi zēng I
61394,郎位十一,23 Com,Officers of the Imperial Guard XI,Lángwèi XI
61415,五诸侯增五[太微垣],24 Com,Five Lords Added V,Wǔzhūhóu zēng V
61558,进贤增九,f Vir,Recommending Virtuous Men Added IX,Jìnxián zēng IX
61571,五诸侯增四[太微垣],25 Com,Five Lords Added IV,Wǔzhūhóu zēng IV
61579,九卿增七,HD109764,Nine Senior Officers Added VII,Jǐuqīng zēng VII
61585,蜜蜂三,α Mus,Bee III,Mìfēng III
61622,库楼八,τ Cen,Arsenal VIII,Kùlóu VIII
61692,常陈三,9 CVn,Royal Guards III,Chángchén III
61724,郎位十二,26 Com,Officers of the Imperial Guard XII,Lángwèi XII
61740,进贤增八,χ Vir,Recommending Virtuous Men Added VIII,Jìnxián zēng VIII
61932,库楼七,γ Cen,Arsenal VII,Kùlóu VII
61936,内厨增二,76 UMa,Inner Kitchen Added II,Nèichú zēng II
61937,九卿增五,27 Vir,Nine Senior Officers Added V,Jǐuqīng zēng V
61941,东上相,γ Vir,The Great Eastern Premier,Dōngshàngxiàng
61960,九卿一,ρ Vir,Nine Senior Officers I,Jǐuqīng I
61968,三公二[太微垣],d1 Vir,Three Excellencies II (In Supreme Palace Enclosure),Sāngōng II
61969,进贤增七,28 Vir,Recommending Virtuous Men Added VII,Jìnxián zēng VII
62207,常陈二,10 CVn,Royal Guards II,Chángchén II
62267,九卿二,d2 Vir,Nine Senior Officers II,Jǐuqīng II
62322,蜜蜂一,β Mus,Bee I,Mìfēng I
62325,九卿增六,33 Vir,Nine Senior Officers Added VI,Jǐuqīng zēng VI
62356,五诸侯三[太微垣],27 Com,Five Lords III,Wǔzhūhóu III
62394,九卿增四,34 Vir,Nine Senior Officers Added IV,Jǐuqīng zēng IV
62423,内厨一,7 Dra,Inner Kitchen I,Nèichú I
62434,十字架三,β Cru,Cross III,Shízìjià III
62443,三公三[太微垣],35 Vir,Three Excellencies III (In Supreme Palace Enclosure),Sāngōng III
62478,九卿增三,28 Com,Nine Senior Officers Added III,Jǐuqīng zēng III
62516,相增三,11 CVn,Prime Minister Added III,Xiàng zēng III
62541,九卿增二,29 Com,Nine Senior Officers Added II,Jǐuqīng zēng II
62572,纽星,HD112028,Ancient Star,Nǐuxīng
